id,shop_id,tracking,customer_id,status,created_at,collected_at,returned_at,country,notes
1,301,TN8001001,10522,40,2022-02-16T10:21:42.109251,2022-02-17T07:07:01.034269,2022-02-22T03:02:00,US,"{""reason"": ""Others"", ""expiry_date"": ""2022-03-19"", ""other_reason"": ""Fit didn’t work for me ""}"
2,301,TN8001002,10175,40,2022-02-12T07:48:09.356686,2022-02-15T05:06:13.884702,2022-02-22T02:41:00,US,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
3,304,TN8001003,10167,40,2022-02-17T12:25:39.671373,2022-02-18T05:37:43.852582,2022-02-22T02:41:00,AU,"{""reason"": ""Wrong Item"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
4,303,TN8001004,10527,40,2022-02-14T05:20:30.505577,2022-02-16T01:08:40.747693,2022-02-22T02:41:00,GB,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
5,305,TN8001005,10289,40,2022-02-04T02:02:39.111046,2022-02-07T01:04:22.501282,2022-02-22T02:41:00,AU,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
6,304,TN8001006,10294,40,2022-02-15T05:55:00.624511,2022-02-16T09:08:16.142245,2022-02-22T02:41:00,GB,"{""reason"": ""Change of mind"", ""expiry_date"": ""2022-03-19"", ""other_reason"": """"}"
7,303,TN8001007,10402,40,2022-02-19T10:27:34.712819,2022-02-21T03:55:56.682207,2022-02-22T02:41:00,GB,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
8,303,TN8001008,10461,40,2022-02-19T05:53:36.571636,2022-02-21T08:37:35.308147,2022-02-22T02:41:00,US,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-19"", ""other_reason"": """"}"
9,301,TN8001009,10406,40,2022-02-19T06:03:12.583995,2022-02-21T07:07:37.089365,2022-02-22T02:41:00,AU,"{""reason"": ""Faulty"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
10,301,TN8001010,10221,40,2022-02-17T08:09:42.313541,2022-02-18T10:07:11.631146,2022-02-22T02:41:00,GB,"{""reason"": ""Faulty"", ""expiry_date"": ""2022-03-19"", ""other_reason"": """"}"
11,301,TN8001011,10704,40,2022-02-15T05:43:24.839566,2022-02-16T03:37:29.426324,2022-02-22T02:41:00,US,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
12,301,TN8001012,10373,40,2022-02-15T10:45:34.492955,2022-02-16T03:07:25.925266,2022-02-22T02:41:00,US,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-03-11"", ""other_reason"": """"}"
13,301,TN8001013,10012,40,2022-02-17T09:20:57.911449,2022-02-18T05:56:49.329853,2022-02-22T02:41:00,US,"{""reason"": ""Sizing issue"", ""expiry_date"": ""2022-02-27"", ""other_reason"": """"}"
